81133	9	65535	6553¨²¢ŠÊJ65535	1.39	0.00
677	8	65535	65535	56419	65535	1.39	0.00
685	8	65535	65535	56419	65535	1.39	0.00
693	8	65535	65535	56419	65535	1.39	0.00
702	9	65535	65535	56419	65535	1.39	0.00
711	9	65535	65535	56419	65535	1.39	0.00
719	8	65535	65535	56419	65535	1.39	0.00
728	9	65535	65535	56419	65535	1.39	0.00
737	9	65535	65535	56419	65535	1.39	0.00
745	8	65535	65535	56419	65535	1.39	0.00
753	8	65535	65535	56419	65535	1.39	0.00
761	8	65535	65535	56419	65535	1.39	0.00
771	10	65535	65535	56419	65535	1.39	0.00
779	8	65535	65535	56419	65535	1.39	0.00
787	8	65535	65535	56419	65535	1.39	0.00
795	8	65535	65535	56419	65535	1.39	0.00
804	9	65535	65535	56419	65535	1.39	0.00
812	8	65535	65535	56419	65535	1.39	0.00
820	8	65535	65535	56419	65535	1.39	0.00
829	9	65535	65535	56419	65535	1.39	0.00
838	9	65535	65535	56419	65535	1.39	0.00
846	8	65535	65535	56419	65535	1.39	0.00
854	8	65535	65535	56419	65535	1.39	0.00
862	8	65535	65535	56419	65535	1.39	0.00
872	10	65535	65535	56419	65535	1.39	0.00
880	8	65535	65535	56419	65535	1.39	0.00
889	9	65535	65535	56419	65535	1.39	0.00
897	8	65535	65535	56419	65535	1.39	0.00
905	8	65535	65535	56419	65535	1.39	0.00
913	8	65535	65535	56419	65535	1.39	0.00
921	8	65535	65535	56419	65535	1.39	0.00
930	9	65535	65535	56419	65535	1.39	0.00
938	8	65535	65535	56419	65535	1.39	0.00
947	9	65535	65535	56419	65535	1.39	0.00
955	8	65535	65535	56419	65535	1.39	0.00
963	8	65535	65535	56419	65535	1.39	0.00
971	8	65535	65535	56419	65535	1.39	0.00
979	8	65535	65535	56419	65535	1.39	0.00
988	9	65535	65535	56419	65535	1.39	0.00
996	8	65535	65535	56419	65535	1.39	0.00
1004	8	65535	65535	56419	65535	1.39	0.00
1012	8	65535	65535	56419	65535	1.39	0.00
1020	8	65535	65535	56419	65535	1.39	0.00
1030	10	65535	65535	56419	65535	1.39	0.00
1038	8	65535	65535	56419	65535	1.39	0.00
1047	9	65535	65535	56419	65535	1.39	0.00
1055	8	65535	65535	56419	65535	1.39	0.00
1064	9	65535	65535	56419	65535	1.39	0.00
1072	8	65535	65535	56419	65535	1.39	0.00
1080	8	65535	65535	56419	65535	1.39	0.00
1089	9	65535	65535	56419	65535	1.39	0.00
1098	9	65535	65535	56419	65535	1.39	0.00
1106	8	65535	65535	56419	65535	1.39	0.00
1114	8	65535	65535	56419	65535	1.39	0.00
1122	8	65535	65535	56419	65535	1.39	0.00
1131	9	65535	65535	56419	65535	1.39	0.00
1139	8	65535	65535	56419	65535	1.39	0.00
1148	9	65535	65535	56419	65535	1.39	0.00
1156	8	65535	65535	56419	65535	1.39	0.00
1165	9	65535	65535	56419	65535	1.39	0.00
1173	8	65535	65535	56419	65535	1.39	0.00
1181	8	65535	65535	56419	65535	1.39	0.00
1190	9	65535	65535	56419	65535	1.39	0.00
1199	9	65535	65535	56419	65535	1.39	0.00
1208	9	65535	65535	56419	65535	1.39	0.00
1216	8	65535	65535	56419	65535	1.39	0.00
1224	8	65535	65535	56419	65535	1.39	0.00
1233	9	65535	65535	56419	65535	1.39	0.00
1241	8	65535	65535	56419	65535	1.39	0.00
1250	9	65535	65535	56419	65535	1.39	0.00
1258	8	65535	65535	56419	65535	1.39	0.00
1267	9	65535	65535	56419	65535	1.39	0.00
1275	8	65535	65535	56419	65535	1.39	0.00
1283	8	65535	65535	56419	65535	1.39	0.00
1291	8	65535	65535	56419	65535	1.39	0.00
1300	9	65535	65535	56419	65535	1.39	0.00
1309	9	65535	65535	56419	65535	1.39	0.00
1317	8	65535	65535	56419	65535	1.39	0.00
1325	8	65535	65535	56419	65535	1.39	0.00
1334	9	65535	65535	56419	65535	1.39	0.00
1342	8	65535	65535	56419	65535	1.39	0.00
1350	8	65535	65535	56419	65535	1.39	0.00
1358	8	65535	65535	56419	65535	1.39	0.00
1368	10	65535	65535	56419	65535	1.39	0.00
1376	8	65535	65535	56419	65535	1.39	0.00
1384	8	65535	65535	56419	65535	1.39	0.00
1392	8	65535	65535	56419	65535	1.39	0.00
1401	9	65535	65535	56419	65535	1.39	0.00
1410	9	65535	65535	56419	65535	1.39	0.00
1418	8	65535	65535	56419	65535	1.39	0.00
1427	9	65535	65535	56419	65535	1.39	0.00
1435	8	65535	65535	56419	65535	1.39	0.00
1443	8	65535	65535	56419	65535	1.39	0.00
1451	8	65535	65535	56419	65535	1.39	0.00
1459	8	65535	65535	56419	65535	1.39	0.00
1468	9	65535	65535	56419	65535	1.39	0.00
1476	8	65535	65535	56419	65535	1.39	0.00
1484	8	65535	65535	56419	65535	1.39	0.00
1492	8	65535	65535	56419	65535	1.39	0.00
1500	8	65535	65535	56419	65535	1.39	0.00
1508	8	65535	65535	56419	65535	1.39	0.00
1516	8	65535	65535	56419	65535	1.39	0.00
1526	10	65535	65535	56419	65535	1.39	0.00
1534	8	65535	65535	56419	65535	1.39	0.00
1542	8	65535	65535	56419	65535	1.39	0.00
1550	8	65535	65535	56419	65535	1.39	0.00
1559	9	65535	65535	56419	65535	1.39	0.00
1568	9	65535	65535	56419	65535	1.39	0.00
1576	8	65535	65535	56419	65535	1.39	0.00
1585	9	65535	65535	56419	65535	1.39	0.00
1594	9	65535	65535	56419	65535	1.39	0.00
1602	8	65535	65535	56419	65535	1.39	0.00
1610	8	65535	65535	56419	65535	1.39	0.00
1618	8	65535	65535	56419	65535	1.39	0.00
1628	10	65535	65535	56419	65535	1.39	0.00
1635	7	17951	25956	22121	65535	1.94	3.86
1644	9	17951	25956	22121	13289	4.79	3.86
1653	9	10245	18187	22121	13288	4.79	5.97
1662	9	10500	13759	13181	9670	7.42	6.99
1670	8	8112	13503	13181	9414	7.51	7.85
1678	8	8113	11440	11165	7576	9.05	8.68
1687	9	6597	9340	9607	6621	10.45	10.64
1696	9	5905	9597	9350	6364	10.80	10.94
1704	8	5905	8310	8314	6619	11.36	11.93
1712	8	5377	7546	7754	6037	12.30	13.13
1720	8	5127	7010	6850	5165	14.12	13.98
1730	10	4834	6918	6273	4943	15.13	14.44
1738	8	4540	6946	6373	4928	15.01	14.77
1747	9	4274	6500	5853	4336	16.65	15.75
1755	8	4194	6143	5907	4668	16.04	16.41
1764	9	4130	5886	5965	4533	16.16	16.94
1772	8	4079	5692	5490	4453	17.06	17.36
1780	8	4042	5810	5533	4146	17.53	17.22
1789	9	3718	5926	5383	3992	18.10	17.59
1798	9	3717	5126	5329	3872	18.44	19.18
1807	9	3673	5592	5231	4128	18.13	18.31
1815	8	3711	5135	4716	3753	20.03	19.18
1823	8	3656	5319	5028	4074	18.64	18.90
1832	9	3442	5475	4977	3691	19.57	19.03
1840	8	3431	4784	4923	4047	18.91	20.65
1847	7	3437	25956	4712	3867	19.77	5.77
1856	9	3478	4833	4921	4026	18.96	20.41
1865	9	3353	5425	4494	3607	20.94	19.33
1873	8	3508	4793	4664	3382	21.08	20.44
1881	8	3285	4803	4628	3861	19.98	20.98
1890	9	3325	4629	25442	3682	5.82	21.33
1899	9	3300	4825	4572	3211	21.80	20.88
1908	9	3222	4967	4262	3352	22.28	20.72
1916	8	3176	4655	4482	3255	21.93	21.66
1924	8	3176	4340	4588	3300	21.51	22.57
1933	9	3205	4472	4561	30582	4.83	22.10
1941	8	3149	4845	4180	3527	22.01	21.22
1950	9	3052	4715	4373	3159	22.52	21.84
1958	8	3334	4484	4320	3623	21.36	21.70
1968	10	3148	4396	4478	3434	21.44	22.49
1976	8	3138	5101	4101	3290	22.95	20.59
1984	8	2967	4346	4277	30582	4.87	23.20
1992	8	3011	4424	4241	3298	22.50	22.82
2000	8	3353	4578	4366	3374	21.92	21.39
2009	9	3089	4519	3775	3501	23.32	22.30
2017	8	2912	4268	4209	2773	24.30	23.63
2026	9	2959	4606	4170	3495	22.13	22.43
2034	8	3047	4250	4295	30582	4.86	23.25
2042	8	3034	4196	3963	30582	4.91	23.46
2050	8	2880	4474	4430	3086	22.57	23.07
2058	8	2927	4553	4121	3453	22.40	22.68
2067	9	2933	4190	4240	3308	22.48	23.82
2075	8	2984	4115	3898	3142	24.10	23.90
2083	8	2925	4406	4356	30582	4.86	23.14
2091	8	2890	4501	4068	30582	4.90	22.95
