1006	9	21846	65535	65535	1	2.59	1.94
1014	8	21846	65535	65535	1	2.59	1.94
1023	9	21846	65535	65535	1	2.59	1.94
1032	9	21846	65535	65535	1	2.59	1.94
1040	8	21846	65535	65535	1	2.59	1.94
1049	9	21846	65535	65535	1	2.59	1.94
1057	8	21846	65535	65535	1	2.59	1.94
1067	10	21846	65535	65535	1	2.59	1.94
1075	8	21846	65535	65535	1	2.59	1.94
1083	8	21846	65535	65535	1	2.59	1.94
1091	8	21846	65535	65535	1	2.59	1.94
1100	9	21846	65535	65535	1	2.59	1.94
1109	9	21846	65535	65535	1	2.59	1.94
1117	8	21846	65535	65535	1	2.59	1.94
1126	9	21846	65535	65535	1	2.59	1.94
1135	9	21846	65535	65535	1	2.59	1.94
1143	8	21846	65535	65535	1	2.59	1.94
1152	9	21846	65535	65535	1	2.59	1.94
1160	8	21846	65535	65535	1	2.59	1.94
1170	10	21846	65535	65535	1	2.59	1.94
1178	8	21846	65535	65535	1	2.59	1.94
1187	9	21846	65535	65535	1	2.59	1.94
1195	8	21846	65535	65535	1	2.59	1.94
1204	9	21846	65535	65535	1	2.59	1.94
1213	9	21846	65535	65535	1	2.59	1.94
1221	8	21846	65535	65535	1	2.59	1.94
1230	9	21846	65535	65535	1	2.59	1.94
1238	8	21846	65535	65535	1	2.59	1.94
1246	8	21846	65535	65535	1	2.59	1.94
1254	8	21846	65535	65535	1	2.59	1.94
1262	8	21846	65535	65535	1	2.59	1.94
1271	9	21846	65535	65535	1	2.59	1.94
1279	8	21846	65535	65535	1	2.59	1.94
1288	9	21846	65535	65535	1	2.59	1.94
1296	8	21846	65535	65535	1	2.59	1.94
1304	8	21846	65535	65535	1	2.59	1.94
1312	8	21846	65535	65535	1	2.59	1.94
1320	8	21846	65535	65535	1	2.59	1.94
1330	10	21846	65535	65535	1	2.59	1.94
1338	8	21846	65535	65535	1	2.59	1.94
1347	9	21846	65535	65535	1	2.59	1.94
1355	8	21846	65535	65535	1	2.59	1.94
1364	9	21846	65535	65535	1	2.59	1.94
1373	9	21846	65535	65535	1	2.59	1.94
1381	8	21846	65535	65535	1	2.59	1.94
1390	9	21846	65535	65535	1	2.59	1.94
1399	9	21846	65535	65535	1	2.59	1.94
1408	9	21846	65535	65535	1	2.59	1.94
1416	8	21846	65535	65535	1	2.59	1.94
1424	8	21846	65535	65535	1	2.59	1.94
1434	10	21846	65535	65535	1	2.59	1.94
1442	8	21846	65535	65535	1	2.59	1.94
1451	9	21846	65535	65535	1	2.59	1.94
1459	8	21846	65535	65535	1	2.59	1.94
1468	9	21846	65535	65535	1	2.59	1.94
1476	8	21846	65535	65535	1	2.59	1.94
1484	8	21846	65535	65535	1	2.59	1.94
1493	9	21846	65535	65535	1	2.59	1.94
1502	9	21846	65535	65535	1	2.59	1.94
1511	9	21846	65535	65535	1	2.59	1.94
1519	8	21846	65535	65535	1	2.59	1.94
1527	8	21846	65535	65535	1	2.59	1.94
1537	10	21846	65535	65535	1	2.59	1.94
1545	8	21846	65535	65535	1	2.59	1.94
1554	9	21846	65535	65535	1	2.59	1.94
1562	8	21846	65535	65535	1	2.59	1.94
1572	10	21846	65535	65535	1	2.59	1.94
1580	8	21846	65535	65535	1	2.59	1.94
1588	8	21846	65535	65535	1	2.59	1.94
1597	9	21846	65535	65535	1	2.59	1.94
1606	9	21846	65535	65535	1	2.59	1.94
1615	9	21846	65535	65535	1	2.59	1.94
1623	8	21846	65535	65535	1	2.59	1.94
1631	8	21846	65535	65535	1	2.59	1.94
1640	9	21846	65535	65535	1	2.59	1.94
1648	8	21846	65535	65535	1	2.59	1.94
1657	9	21846	65535	65535	1	2.59	1.94
1665	8	21846	65535	65535	1	2.59	1.94
1675	10	21846	65535	65535	1	2.59	1.94
1683	8	21846	65535	65535	1	2.59	1.94
1691	8	21846	65535	65535	1	2.59	1.94
1700	9	21846	65535	65535	1	2.59	1.94
1709	9	21846	65535	65535	1	2.59	1.94
1718	9	21846	65535	65535	1	2.59	1.94
1726	8	21846	65535	65535	1	2.59	1.94
1735	9	21846	65535	65535	1	2.59	1.94
1744	9	21846	65535	65535	1	2.59	1.94
1752	8	21846	65535	65535	1	2.59	1.94
1761	9	21846	65535	65535	1	2.59	1.94
1769	8	21846	65535	65535	1	2.59	1.94
1779	10	21846	65535	65535	1	2.59	1.94
1787	8	21846	65535	65535	1	2.59	1.94
1795	8	21846	65535	65535	1	2.59	1.94
1803	8	21846	65535	65535	1	2.59	1.94
1811	8	21846	65535	65535	1	2.59	1.94
1820	9	21846	65535	65535	1	2.59	1.94
1828	8	21846	65535	65535	1	2.59	1.94
1837	9	21846	65535	65535	1	2.59	1.94
1845	8	21846	65535	65535	1	2.59	1.94
1853	8	21846	65535	65535	1	2.59	1.94
1861	8	21846	65535	65535	1	2.59	1.94
1869	8	21846	65535	65535	1	2.59	1.94
1878	9	21846	65535	65535	1	2.59	1.94
1886	8	21846	65535	65535	1	2.59	1.94
1895	9	21846	65535	65535	1	2.59	1.94
1903	8	21846	65535	65535	1	2.59	1.94
1911	8	21846	65535	65535	1	2.59	1.94
1920	9	21846	65535	65535	1	2.59	1.94
1928	8	21846	65535	65535	1	2.59	1.94
1938	10	21846	65535	65535	1	2.59	1.94
1946	8	21846	65535	65535	1	2.59	1.94
1954	8	21846	65535	65535	1	2.59	1.94
1962	8	21846	65535	65535	1	2.59	1.94
1971	9	21846	65535	65535	1	2.59	1.94
1980	9	21846	65535	65535	1	2.59	1.94
1988	8	21846	65535	65535	1	2.59	1.94
1997	9	21846	65535	65535	1	2.59	1.94
2006	9	21846	65535	65535	1	2.59	1.94
2014	8	21846	65535	65535	1	2.59	1.94
2022	8	21846	65535	65535	1	2.59	1.94
2030	8	21846	65535	65535	1	2.59	1.94
2040	10	21846	65535	65535	1	2.59	1.94
2048	8	21846	65535	65535	1	2.59	1.94
2057	9	21846	65535	65535	1	2.59	1.94
2065	8	21846	65535	65535	1	2.59	1.94
2074	9	21846	65535	65535	1	2.59	1.94
2083	9	21846	65535	65535	1	2.59	1.94
2091	8	21846	65535	65535	1	2.59	1.94
2100	9	21846	65535	65535	1	2.59	1.94
2109	9	21846	65535	65535	1	2.59	1.94
2118	9	21846	65535	65535	1	2.59	1.94
2126	8	21846	65535	65535	1	2.59	1.94
2134	8	21846	65535	65535	1	2.59	1.94
2144	10	21846	65535	65535	1	2.59	1.94
2152	8	21846	65535	65535	1	2.59	1.94
2161	9	21846	65535	65535	1	2.59	1.94
2169	8	21846	65535	65535	1	2.59	1.94
2178	9	21846	65535	65535	1	2.59	1.94
2186	8	21846	65535	65535	1	2.59	1.94
2194	8	21846	65535	65535	1	2.59	1.94
2203	9	21846	65535	65535	1	2.59	1.94
2212	9	21846	65535	65535	1	2.59	1.94
2221	9	21846	65535	65535	1	2.59	1.94
2229	8	21846	65535	65535	1	2.59	1.94
2237	8	21846	65535	65535	1	2.59	1.94
2247	10	21846	65535	65535	1	2.59	1.94
2255	8	21846	65535	65535	1	2.59	1.94
2264	9	21846	65535	65535	1	2.59	1.94
2272	8	21846	65535	65535	1	2.59	1.94
2282	10	21846	65535	65535	1	2.59	1.94
2290	8	21846	65535	65535	1	2.59	1.94
2298	8	21846	65535	65535	1	2.59	1.94
2307	9	21846	65535	65535	1	2.59	1.94
2316	9	21846	65535	65535	1	2.59	1.94
2325	9	21846	65535	65535	1	2.59	1.94
2333	8	21846	65535	65535	1	2.59	1.94
2341	8	21846	65535	65535	1	2.59	1.94
2349	8	21846	65535	65535	1	2.59	1.94
2357	8	21846	65535	65535	1	2.59	1.94
2366	9	21846	65535	65535	1	2.59	1.94
2374	8	21846	65535	65535	1	2.59	1.94
2383	9	21846	65535	65535	1	2.59	1.94
2391	8	21846	65535	65535	1	2.59	1.94
2399	8	21846	65535	65535	1	2.59	1.94
2408	9	21846	65535	65535	1	2.59	1.94
2416	8	21846	65535	65535	1	2.59	1.94
2425	9	21846	65535	65535	1	2.59	1.94
2433	8	21846	65535	65535	1	2.59	1.94
2443	10	21846	65535	65535	1	2.59	1.94
2451	8	21846	65535	65535	1	2.59	1.94
2459	8	21846	65535	65535	1	2.59	1.94
2468	9	21846	65535	65535	1	2.59	1.94
2477	9	21846	65535	65535	1	2.59	1.94
2486	9	21846	65535	65535	1	2.59	1.94
2494	8	21846	65535	65535	1	2.59	1.94
2502	8	21846	65535	65535	1	2.59	1.94
2511	9	21846	65535	65535	1	2.59	1.94
2519	8	21846	65535	65535	1	2.59	1.94
2528	9	21846	65535	65535	1	2.59	1.94
2536	8	21846	65535	65535	1	2.59	1.94
2546	10	21846	65535	65535	1	2.59	1.94
2554	8	21846	65535	65535	1	2.59	1.94
2562	8	21846	65535	65535	1	2.59	1.94
2570	8	21846	65535	65535	1	2.59	1.94
2579	9	21846	65535	65535	1	2.59	1.94
2588	9	21846	65535	65535	1	2.59	1.94
2596	8	21846	65535	65535	1	2.59	1.94
2605	9	21846	65535	65535	1	2.59	1.94
2614	9	21846	65535	65535	1	2.59	1.94
2622	8	21846	65535	65535	1	2.59	1.94
2631	9	21846	65535	65535	1	2.59	1.94
2639	8	21846	65535	65535	1	2.59	1.94
2649	10	21846	65535	65535	1	2.59	1.94
2657	8	21846	65535	65535	1	2.59	1.94
2666	9	21846	65535	65535	1	2.59	1.94
2674	8	21846	65535	65535	1	2.59	1.94
2683	9	21846	65535	65535	1	2.59	1.94
2692	9	21846	65535	65535	1	2.59	1.94
2700	8	21846	65535	65535	1	2.59	1.94
2709	9	21846	65535	65535	1	2.59	1.94
2718	9	21846	65535	65535	1	2.59	1.94
2726	8	21846	65535	65535	1	2.59	1.94
2734	8	21846	65535	65535	1	2.59	1.94
2742	8	21846	65535	65535	1	2.59	1.94
2752	10	21846	65535	65535	1	2.59	1.94
2760	8	21846	65535	65535	1	2.59	1.94
2769	9	21846	65535	65535	1	2.59	1.94
2777	8	21846	65535	65535	1	2.59	1.94
2786	9	21846	65535	65535	1	2.59	1.94
2795	9	21846	65535	65535	1	2.59	1.94
2803	8	21846	65535	65535	1	2.59	1.94
2812	9	21846	65535	65535	1	2.59	1.94
2821	9	21846	65535	65535	1	2.59	1.94
2830	9	21846	65535	65535	1	2.59	1.94
2838	8	21846	65535	65535	1	2.59	1.94
2846	8	21846	65535	65535	1	2.59	1.94
2856	10	21846	65535	65535	1	2.59	1.94
2864	8	21846	65535	65535	1	2.59	1.94
2873	9	21846	65535	65535	1	2.59	1.94
2881	8	21846	65535	65535	1	2.59	1.94
2889	8	21846	65535	65535	1	2.59	1.94
2897	8	21846	65535	65535	1	2.59	1.94
2905	8	21846	65535	65535	1	2.59	1.94
2914	9	21846	65535	65535	1	2.59	1.94
2922	8	21846	65535	65535	1	2.59	1.94
2931	9	21846	65535	65535	1	2.59	1.94
2939	8	21846	65535	65535	1	2.59	1.94
2947	8	21846	65535	65535	1	2.59	1.94
2956	9	21846	65535	65535	1	2.59	1.94
2964	8	21846	65535	65535	1	2.59	1.94
2973	9	21846	65535	65535	1	2.59	1.94
2981	8	21846	65535	65535	1	2.59	1.94
2990	9	21846	65535	65535	1	2.59	1.94
2998	8	21846	65535	65535	1	2.59	1.94
3006	8	21846	65535	65535	1	2.59	1.94
3016	10	21846	65535	65535	1	2.59	1.94
3024	8	21846	65535	65535	1	2.59	1.94
3033	9	21846	65535	65535	1	2.59	1.94
3041	8	21846	65535	65535	1	2.59	1.94
3050	9	21846	65535	65535	1	2.59	1.94
3058	8	21846	65535	65535	1	2.59	1.94
3066	8	21846	65535	65535	1	2.59	1.94
3075	9	21846	65535	65535	1	2.59	1.94
3084	9	21846	65535	65535	1	2.59	1.94
3093	9	21846	65535	65535	1	2.59	1.94
3101	8	21846	65535	65535	1	2.59	1.94
3109	8	21846	65535	65535	1	2.59	1.94
3118	9	21846	65535	65535	1	2.59	1.94
3126	8	21846	65535	65535	1	2.59	1.94
3135	9	21846	65535	65535	1	2.59	1.94
3143	8	21846	65535	65535	1	2.59	1.94
3153	10	21846	65535	65535	1	2.59	1.94
3161	8	21846	65535	65535	1	2.59	1.94
3169	8	21846	65535	65535	1	2.59	1.94
3178	9	21846	65535	65535	1	2.59	1.94
3187	9	21846	65535	65535	1	2.59	1.94
3196	9	21846	65535	65535	1	2.59	1.94
3204	8	21846	65535	65535	1	2.59	1.94
3212	8	21846	65535	65535	1	2.59	1.94
3221	9	21846	65535	65535	1	2.59	1.94
3229	8	21846	65535	65535	1	2.59	1.94
3238	9	21846	65535	65535	1	2.59	1.94
3246	8	21846	65535	65535	1	2.59	1.94
3256	10	21846	65535	65535	1	2.59	1.94
3264	8	21846	65535	65535	1	2.59	1.94
3272	8	21846	65535	65535	1	2.59	1.94
3280	8	21846	65535	65535	1	2.59	1.94
3289	9	21846	65535	65535	1	2.59	1.94
3298	9	21846	65535	65535	1	2.59	1.94
3306	8	21846	65535	65535	1	2.59	1.94
3315	9	21846	65535	65535	1	2.59	1.94
3324	9	21846	65535	65535	1	2.59	1.94
3332	8	21846	65535	65535	1	2.59	1.94
3341	9	21846	65535	65535	1	2.59	1.94
3349	8	21846	65535	65535	1	2.59	1.94
3359	10	21846	65535	65535	1	2.59	1.94
3367	8	21846	65535	65535	1	2.59	1.94
3376	9	21846	65535	65535	1	2.59	1.94
3384	8	21846	65535	65535	1	2.59	1.94
3393	9	21846	65535	65535	1	2.59	1.94
3402	9	21846	65535	65535	1	2.59	1.94
3410	8	21846	65535	65535	1	2.59	1.94
3419	9	21846	65535	65535	1	2.59	1.94
3428	9	21846	65535	65535	1	2.59	1.94
3436	8	21846	65535	65535	1	2.59	1.94
3444	8	21846	65535	65535	1	2.59	1.94
3452	8	21846	65535	65535	1	2.59	1.94
3461	9	21846	65535	65535	1	2.59	1.94
3469	8	21846	65535	65535	1	2.59	1.94
3478	9	21846	65535	65535	1	2.59	1.94
3486	8	21846	65535	65535	1	2.59	1.94
3494	8	21846	65535	65535	1	2.59	1.94
3503	9	21846	65535	65535	1	2.59	1.94
3511	8	21846	65535	65535	1	2.59	1.94
3520	9	21846	65535	65535	1	2.59	1.94
3528	8	21846	65535	65535	1	2.59	1.94
3537	9	21846	65535	65535	1	2.59	1.94
3545	8	21846	65535	65535	1	2.59	1.94
3554	9	21846	65535	65535	1	2.59	1.94
3563	9	21846	65535	65535	1	2.59	1.94
3571	8	21846	65535	65535	1	2.59	1.94
3580	9	21846	65535	65535	1	2.59	1.94
3589	9	21846	65535	65535	1	2.59	1.94
3597	8	21846	65535	65535	1	2.59	1.94
3605	8	21846	65535	65535	1	2.59	1.94
3613	8	21846	65535	65535	1	2.59	1.94
3623	10	21846	65535	65535	1	2.59	1.94
3631	8	21846	65535	65535	1	2.59	1.94
3640	9	21846	65535	65535	1	2.59	1.94
3648	8	21846	65535	65535	1	2.59	1.94
3657	9	21846	65535	65535	1	2.59	1.94
3666	9	21846	65535	65535	1	2.59	1.94
3674	8	21846	65535	65535	1	2.59	1.94
3683	9	21846	65535	65535	1	2.59	1.94
3692	9	21846	65535	65535	1	2.59	1.94
3701	9	21846	65535	65535	1	2.59	1.94
3709	8	21846	65535	65535	1	2.59	1.94
3717	8	21846	65535	65535	1	2.59	1.94
3727	10	21846	65535	65535	1	2.59	1.94
