633	8	56281	65535	65535	65535	0.00	1.39
641	8	56281	65535	65535	65535	0.00	1.39
649	8	56281	65535	65535	65535	0.00	1.39
658	9	56281	65535	65535	65535	0.00	1.39
666	8	56281	65535	65535	65535	0.00	1.39
674	8	56281	65535	65535	65535	0.00	1.39
682	8	56281	65535	65535	65535	0.00	1.39
690	8	56281	65535	65535	65535	0.00	1.39
699	9	56281	65535	65535	65535	0.00	1.39
707	8	56281	65535	65535	65535	0.00	1.39
716	9	56281	65535	65535	65535	0.00	1.39
724	8	56281	65535	65535	65535	0.00	1.39
732	8	56281	65535	65535	65535	0.00	1.39
740	8	56281	65535	65535	65535	0.00	1.39
749	9	56281	65535	65535	65535	0.00	1.39
758	9	56281	65535	65535	65535	0.00	1.39
766	8	56281	65535	65535	65535	0.00	1.39
774	8	56281	65535	65535	65535	0.00	1.39
783	9	56281	65535	65535	65535	0.00	1.39
791	8	56281	65535	65535	65535	0.00	1.39
799	8	56281	65535	65535	65535	0.00	1.39
807	8	56281	65535	65535	65535	0.00	1.39
817	10	56281	65535	65535	65535	0.00	1.39
825	8	56281	65535	65535	65535	0.00	1.39
833	8	56281	65535	65535	65535	0.00	1.39
841	8	56281	65535	65535	65535	0.00	1.39
850	9	56281	65535	65535	65535	0.00	1.39
859	9	56281	65535	65535	65535	0.00	1.39
867	8	56281	65535	65535	65535	0.00	1.39
876	9	56281	65535	65535	65535	0.00	1.39
885	9	56281	65535	65535	65535	0.00	1.39
893	8	56281	65535	65535	65535	0.00	1.39
901	8	56281	65535	65535	65535	0.00	1.39
909	8	56281	65535	65535	65535	0.00	1.39
919	10	56281	65535	65535	65535	0.00	1.39
927	8	56281	65535	65535	65535	0.00	1.39
936	9	56281	65535	65535	65535	0.00	1.39
944	8	56281	65535	65535	65535	0.00	1.39
953	9	56281	65535	65535	65535	0.00	1.39
961	8	56281	65535	65535	65535	0.00	1.39
969	8	56281	65535	65535	65535	0.00	1.39
978	9	56281	65535	65535	65535	0.00	1.39
987	9	56281	65535	65535	65535	0.00	1.39
995	8	56281	65535	65535	65535	0.00	1.39
1003	8	56281	65535	65535	65535	0.00	1.39
1011	8	56281	65535	65535	65535	0.00	1.39
1021	10	56281	65535	65535	65535	0.00	1.39
1029	8	56281	65535	65535	65535	0.00	1.39
1038	9	56281	65535	65535	65535	0.00	1.39
1046	8	56281	65535	65535	65535	0.00	1.39
1055	9	56281	65535	65535	65535	0.00	1.39
1063	8	56281	65535	65535	65535	0.00	1.39
1071	8	56281	65535	65535	65535	0.00	1.39
1080	9	56281	65535	65535	65535	0.00	1.39
1089	9	56281	65535	65535	65535	0.00	1.39
1097	8	56281	65535	65535	65535	0.00	1.39
1105	8	56281	65535	65535	65535	0.00	1.39
1113	8	56281	65535	65535	65535	0.00	1.39
1122	9	56281	65535	65535	65535	0.00	1.39
1130	8	56281	65535	65535	65535	0.00	1.39
1139	9	56281	65535	65535	65535	0.00	1.39
1147	8	56281	65535	65535	65535	0.00	1.39
1155	8	56281	65535	65535	65535	0.00	1.39
1163	8	56281	65535	65535	65535	0.00	1.39
1171	8	56281	65535	65535	65535	0.00	1.39
1180	9	56281	65535	65535	65535	0.00	1.39
1188	8	56281	65535	65535	65535	0.00	1.39
1197	9	56281	65535	65535	65535	0.00	1.39
1205	8	56281	65535	65535	65535	0.00	1.39
1213	8	56281	65535	65535	65535	0.00	1.39
1221	8	56281	65535	65535	65535	0.00	1.39
1229	8	56281	65535	65535	65535	0.00	1.39
1238	9	56281	65535	65535	65535	0.00	1.39
1246	8	56281	65535	65535	65535	0.00	1.39
1254	8	56281	65535	65535	65535	0.00	1.39
1262	8	56281	65535	65535	65535	0.00	1.39
1270	8	56281	65535	65535	65535	0.00	1.39
1278	8	56281	65535	65535	65535	0.00	1.39
1286	8	56281	65535	65535	65535	0.00	1.39
1295	9	56281	65535	65535	65535	0.00	1.39
1303	8	56281	65535	65535	65535	0.00	1.39
1312	9	56281	65535	65535	65535	0.00	1.39
1320	8	56281	65535	65535	65535	0.00	1.39
1328	8	56281	65535	65535	65535	0.00	1.39
1336	8	56281	65535	65535	65535	0.00	1.39
1345	9	56281	65535	65535	65535	0.00	1.39
1354	9	56281	65535	65535	65535	0.00	1.39
1362	8	56281	65535	65535	65535	0.00	1.39
1370	8	56281	65535	65535	65535	0.00	1.39
1379	9	56281	65535	65535	65535	0.00	1.39
1387	8	56281	65535	65535	65535	0.00	1.39
1396	9	56281	65535	65535	65535	0.00	1.39
1404	8	56281	65535	65535	65535	0.00	1.39
1414	10	56281	65535	65535	65535	0.00	1.39
1422	8	56281	65535	65535	65535	0.00	1.39
1430	8	56281	65535	65535	65535	0.00	1.39
1438	8	56281	65535	65535	65535	0.00	1.39
1447	9	56281	65535	65535	65535	0.00	1.39
1456	9	56281	65535	65535	65535	0.00	1.39
1464	8	56281	65535	65535	65535	0.00	1.39
1472	8	56281	65535	65535	65535	0.00	1.39
1481	9	56281	65535	65535	65535	0.00	1.39
1489	8	56281	65535	65535	65535	0.00	1.39
1497	8	56281	65535	65535	65535	0.00	1.39
1505	8	56281	65535	65535	65535	0.00	1.39
1515	10	56281	65535	65535	65535	0.00	1.39
1523	8	56281	65535	65535	65535	0.00	1.39
1531	8	56281	65535	65535	65535	0.00	1.39
1539	8	56281	65535	65535	65535	0.00	1.39
1548	9	56281	65535	65535	65535	0.00	1.39
1557	9	56281	65535	65535	65535	0.00	1.39
1565	8	56281	65535	65535	65535	0.00	1.39
1574	9	56281	65535	65535	65535	0.00	1.39
1583	9	56281	65535	65535	65535	0.00	1.39
1591	8	56281	65535	65535	65535	0.00	1.39
1599	8	56281	65535	65535	65535	0.00	1.39
1607	8	56281	65535	65535	65535	0.00	1.39
1617	10	56281	65535	65535	65535	0.00	1.39
1625	8	56281	65535	65535	65535	0.00	1.39
1633	8	56281	65535	65535	65535	0.00	1.39
1641	8	56281	65535	65535	65535	0.00	1.39
1650	9	56281	65535	65535	65535	0.00	1.39
1658	8	56281	65535	65535	65535	0.00	1.39
1666	8	56281	65535	65535	65535	0.00	1.39
1675	9	56281	65535	65535	65535	0.00	1.39
1684	9	56281	65535	65535	65535	0.00	1.39
1692	8	56281	65535	65535	65535	0.00	1.39
1700	8	56281	65535	65535	65535	0.00	1.39
1708	8	56281	65535	65535	65535	0.00	1.39
1718	10	56281	65535	65535	65535	0.00	1.39
1726	8	56281	65535	65535	65535	0.00	1.39
1735	9	56281	65535	65535	65535	0.00	1.39
1743	8	56281	65535	65535	65535	0.00	1.39
1751	8	56281	65535	65535	65535	0.00	1.39
1759	8	56281	65535	65535	65535	0.00	1.39
1767	8	56281	65535	65535	65535	0.00	1.39
1776	9	56281	65535	65535	65535	0.00	1.39
1784	8	56281	65535	65535	65535	0.00	1.39
1792	8	56281	65535	65535	65535	0.00	1.39
1800	8	56281	65535	65535	65535	0.00	1.39
1808	8	56281	65535	65535	65535	0.00	1.39
1816	8	56281	65535	65535	65535	0.00	1.39
1824	8	56281	65535	65535	65535	0.00	1.39
1833	9	56281	65535	65535	65535	0.00	1.39
1842	9	56281	65535	65535	65535	0.00	1.39
1850	8	56281	65535	65535	65535	0.00	1.39
1858	8	56281	65535	65535	65535	0.00	1.39
1866	8	56281	65535	65535	65535	0.00	1.39
1875	9	56281	65535	65535	65535	0.00	1.39
1883	8	56281	65535	65535	65535	0.00	1.39
1892	9	56281	65535	65535	65535	0.00	1.39
1900	8	56281	65535	65535	65535	0.00	1.39
1909	9	56281	65535	65535	65535	0.00	1.39
1917	8	56281	65535	65535	65535	0.00	1.39
1925	8	56281	65535	65535	65535	0.00	1.39
1934	9	56281	65535	65535	65535	0.00	1.39
1943	9	56281	65535	65535	65535	0.00	1.39
1952	9	56281	65535	65535	65535	0.00	1.39
1960	8	56281	65535	65535	65535	0.00	1.39
1968	8	56281	65535	65535	65535	0.00	1.39
1977	9	56281	65535	65535	65535	0.00	1.39
1985	8	56281	65535	65535	65535	0.00	1.39
1994	9	56281	65535	65535	65535	0.00	1.39
2002	8	56281	65535	65535	65535	0.00	1.39
2011	9	56281	65535	65535	65535	0.00	1.39
2019	8	56281	65535	65535	65535	0.00	1.39
2027	8	56281	65535	65535	65535	0.00	1.39
2035	8	56281	65535	65535	65535	0.00	1.39
2044	9	56281	65535	65535	65535	0.00	1.39
2053	9	56281	65535	65535	65535	0.00	1.39
2061	8	56281	65535	65535	65535	0.00	1.39
2069	8	56281	65535	65535	65535	0.00	1.39
2078	9	56281	65535	65535	65535	0.00	1.39
2086	8	56281	65535	65535	65535	0.00	1.39
2095	9	56281	65535	65535	65535	0.00	1.39
2103	8	56281	65535	65535	65535	0.00	1.39
2113	10	56281	65535	65535	65535	0.00	1.39
2121	8	56281	65535	65535	65535	0.00	1.39
2129	8	56281	65535	65535	65535	0.00	1.39
2137	8	56281	65535	65535	65535	0.00	1.39
2146	9	56281	65535	65535	65535	0.00	1.39
2155	9	56281	65535	65535	65535	0.00	1.39
2163	8	56281	65535	65535	65535	0.00	1.39
2171	8	56281	65535	65535	65535	0.00	1.39
2180	9	56281	65535	65535	65535	0.00	1.39
2188	8	56281	65535	65535	65535	0.00	1.39
